"","eventid","iyear","country","country_txt","region","region_txt","provstate","city","latitude","longitude","doubtterr","success","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","target1","natlty1","natlty1_txt","gname","tname"
"24032",199202050008,1992,44,"China",4,"East Asia","Xinjiang","Urumqi",43.825645,87.616823,0,1,19,"Transportation",99,"Bus (excluding tourists)","Bus",44,"China","Muslim Separatists","Transportation Urumqi"
"24711",199205210005,1992,44,"China",4,"East Asia","Beijing","Beijing",39.905556,116.395833,-9,1,10,"Journalists & Media",55,"Television Journalist/Staff/Facility","camera crew",75,"Germany","Mob","Journalists & Media Beijing"
"28469",199512030004,1995,44,"China",4,"East Asia","Guangdong","Shenzhen",22.542601,114.057612,0,1,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Villagers",44,"China","Workers/Employees","Private Citizens & Property Shenzhen"
"28470",199512030005,1995,44,"China",4,"East Asia","Guangdong","Shenzen",22.543099,114.057868,-9,1,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Local HQ",44,"China","Workers/Employees","Government (General) Shenzen"
"28627",199602100006,1996,44,"China",4,"East Asia","Xinjiang","Wensu",41.276777,80.238959,-9,1,3,"Police",25,"Police Security Forces/Officers","Policemen",44,"China","Muslims","Police Wensu"
"28850",199605100006,1996,44,"China",4,"East Asia","Xinjiang","Kashgar",39.4704,75.989755,0,0,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Aronghan Aji and son",44,"China","Muslim Separatists","Government (General) Kashgar"
"29568",199702250004,1997,44,"China",4,"East Asia","Xinjiang","Urumqi",43.825645,87.616823,0,1,19,"Transportation",99,"Bus (excluding tourists)","Bus",44,"China","Uighur Separatists","Transportation Urumqi"
"29569",199702250005,1997,44,"China",4,"East Asia","Xinjiang","Urumqi",43.825645,87.616823,0,1,19,"Transportation",99,"Bus (excluding tourists)","Bus",44,"China","Uighur Separatists","Transportation Urumqi"
"29570",199702250006,1997,44,"China",4,"East Asia","Xinjiang","Urumqi",43.825645,87.616823,0,1,19,"Transportation",99,"Bus (excluding tourists)","Bus",44,"China","Uighur Separatists","Transportation Urumqi"
"29608",199703160006,1997,44,"China",4,"East Asia","Beijing","Beijing",39.905556,116.395833,-9,1,14,"Private Citizens & Property",70,"Student","Students",184,"South Korea","Koreans","Private Citizens & Property Beijing"
"29642",199703230007,1997,44,"China",4,"East Asia","Beijing","Beijing",39.905556,116.395833,-9,1,1,"Business",13,"Private Security Company/Firm","Pak Yong-ho",184,"South Korea","Koreans","Business Beijing"
"30030",199710010008,1997,44,"China",4,"East Asia","Xinjiang","Kuytun",44.426529,84.903267,0,1,2,"Government (General)",21,"Government Building/Facility/Office","Buildings",44,"China","Uighur Separatists","Government (General) Kuytun"
"36923",200805050049,2008,44,"China",4,"East Asia","Shanghai","Shanghai",31.231763,121.484443,0,1,19,"Transportation",99,"Bus (excluding tourists)","A passenger bus was targeted in the attack.",44,"China","Eastern Turkistan Islamic Movement (ETIM)","Transportation Shanghai"
"37331",200807210003,2008,44,"China",4,"East Asia","Yunnan","Minshan",25.046078,102.653562,0,1,19,"Transportation",99,"Bus (excluding tourists)","Civilians aboard a Chinese passenger bus",44,"China","Turkestan Islamic Party","Transportation Minshan"
